class,rank,term,weight
center,1,caption,3.9109640162746833
center,2,upfor,3.390473941697102
center,3,tablet,2.2543603119956463
center,4,desktop,2.2443631054774955
center,5,biden,1.590380608608954
center,6,getty,1.555730698227904
center,7,mr,1.5537418962045173
center,8,outlet com,1.5246873427985903
center,9,toggle caption,1.3759244829298698
center,10,caption toggle,1.3759244829298698
center,11,toggle,1.372994383296657
center,12,hide caption,1.3663759030217504
center,13,getty images,1.331506991225051
center,14,ap,1.3125358942079184
center,15,says,1.2261139493223028
center,16,hide,1.2161944695395557
center,17,images,1.2045294007496834
center,18,dow,1.182188005046826
center,19,tablet landscape,1.1301579805708764
center,20,desktop upfor,1.1301579805708764
left,1,clinton,1.7789651727472469
left,2,obama,1.6798184240545821
left,3,STANCE:sentence_polarity_std,1.6272810749489612
left,4,said,1.0104423119194637
left,5,united states,0.8698084683376731
left,6,united,0.8522899461473379
left,7,states,0.7394506228666167
left,8,campaign,0.7376835779555437
left,9,like,0.6566316997734833
left,10,sanders,0.6329390525172159
left,11,bush,0.6301115048754082
left,12,imagecredit,0.6111244539724962
left,13,romney,0.4868034810735621
left,14,women,0.48237342087250107
left,15,undocumented,0.4765992122060127
left,16,component national,0.4754752753270195
left,17,emergency component,0.4754752753270195
left,18,cruz,0.4751921728244924
left,19,barack obama,0.4746189200421006
left,20,barack,0.46760286556965536
right,1,outlet articles,2.0045603748072605
right,2,listen outlet,2.0027505769841887
right,3,newyou,1.9842367277453592
right,4,newyou listen,1.9842367277453592
right,5,listen,1.85238848047993
right,6,articles,1.830523075247513
right,7,percent,1.46095492616122
right,8,STANCE:sentence_polarity_std,1.2613795880354841
right,9,click,1.1906939734659974
right,10,outlet contributed,1.012595411205178
right,11,outlet,0.9579305428925337
right,12,president trump,0.9128507756192512
right,13,olympics,0.8958665849543073
right,14,obama,0.8907147208182775
right,15,obamacare,0.8869059878486275
right,16,click outlet,0.7985742802295219
right,17,outlet rights,0.7253280442375533
right,18,contributed report,0.6765262533783495
right,19,2022 outlet,0.6671424183263945
right,20,president,0.6538390008403893
